time,incidentType,incidentClass,isHome,player_id,player_shortName,player_jerseyNumber,playerIn_id,playerIn_shortName,playerIn_jerseyNumber,playerOut_id,playerOut_shortName,playerOut_jerseyNumber
78,substitution,regular,home,,,,914144.0,F. Nadalín,15,895231.0,I. Antonio,5
78,substitution,regular,home,,,,835241.0,F. Antonini,11,1194768.0,I. Cortez,4
77,card,yellow,away,824589.0,C. Salto,10,,,,,,
71,substitution,regular,home,,,,1167615.0,A. Spetale,20,848294.0,N. Solis,7
69,substitution,regular,away,,,,1654479.0,N. Borsotti,16,1182905.0,A. Benítez,8
64,substitution,regular,away,,,,1021878.0,B. Gómez,10,896922.0,E. Aguirre,7
64,substitution,regular,away,,,,577578.0,F. Pereyra,19,1506776.0,P. Moyano,11
62,card,yellow,home,992966.0,F. Meritello,15,,,,,,
60,substitution,regular,home,,,,1597476.0,G. M. Salega,18,859965.0,N. Rinaldi,17
60,substitution,regular,home,,,,1085344.0,Jere Rodríguez,10,974673.0,N. Romano,8
59,card,yellow,away,1182905.0,A. Benítez,8,,,,,,
56,card,yellow,away,1092476.0,I. Pietrobono,1,,,,,,
45,period,,home,,,,,,,,,
45,goal,regular,away,824589.0,C. Salto,10,,,,,,
45,injuryTime,,home,,,,,,,,,
44,card,yellow,away,1469419.0,I. Gutierrez,5,,,,,,
90,period,,home,,,,,,,,,
90,substitution,regular,home,,,,885514.0,L. Lapetina,11,1650474.0,T. González,10
90,card,yellow,home,912789.0,R. Reynaga,20,,,,,,
90,substitution,regular,home,,,,1086913.0,A. d. Silveira,13,1500069.0,V. Fenoglio,14
90,substitution,regular,away,,,,896871.0,F. Recalde,5,1654539.0,M. A. Benítez,
90,substitution,regular,away,,,,789298.0,N. Sanchez,10,340843.0,M. Rivadero,14
90,injuryTime,,home,,,,,,,,,
86,card,yellow,away,174855.0,D. Braghieri,6,,,,,,
85,card,yellow,away,1179170.0,H. Zuliani,3,,,,,,
78,substitution,regular,away,,,,1157397.0,B. Perez,8,1393676.0,J. Palacio,20
78,substitution,regular,away,,,,1092312.0,B. N. Ferreyra,11,288317.0,D. Diellos,9
78,substitution,regular,home,,,,912789.0,R. Reynaga,20,1021608.0,G. G. Villalba,19
78,substitution,regular,home,,,,991135.0,Á. Pavón,5,951719.0,M. Valiente,20
74,card,yellow,away,340843.0,M. Rivadero,14,,,,,,
68,substitution,regular,away,,,,1114260.0,E. Jara,17,1111937.0,E. Arreguín,16
45,period,,home,,,,,,,,,
45,goal,regular,home,1021608.0,G. G. Villalba,19,,,,,,
45,injuryTime,,home,,,,,,,,,
42,card,yellow,home,1021608.0,G. G. Villalba,19,,,,,,
90,period,,home,,,,,,,,,
90,card,yellow,away,895357.0,M. Rodríguez,7,,,,,,
90,injuryTime,,home,,,,,,,,,
82,card,yellow,away,1084973.0,M. Belloso,17,,,,,,
78,substitution,regular,home,,,,971201.0,F. Murillo,4,842865.0,R. Blanco,10
78,substitution,regular,home,,,,1388385.0,M. Campos,19,896790.0,A. Lorenzo,4
71,substitution,regular,away,,,,1084973.0,M. Belloso,17,897060.0,C. Pombo,15
71,substitution,regular,away,,,,1119874.0,J. Domke,16,895335.0,E. Beltramone,19
71,substitution,regular,away,,,,895357.0,M. Rodríguez,7,789378.0,F. Brandan,18
62,substitution,regular,away,,,,1384649.0,T. Fernandez,14,1597481.0,M. F. Vera,4
55,substitution,regular,home,,,,1218016.0,W. Nuñez,21,1086246.0,J. A. Peréz,25
55,substitution,regular,home,,,,340899.0,F. Mussis,16,1096727.0,G. E. Moreyra,11
55,substitution,regular,home,,,,974689.0,G. Tomasetti,18,874957.0,F. García,11
45,period,,home,,,,,,,,,
45,goal,regular,away,789378.0,F. Brandan,18,,,,,,
45,injuryTime,,home,,,,,,,,,
38,card,yellow,away,994455.0,N. Watson,5,,,,,,
37,card,yellow,away,897060.0,C. Pombo,15,,,,,,
29,card,yellow,home,842865.0,R. Blanco,10,,,,,,
28,card,yellow,away,1182501.0,N. Brunet,34,,,,,,
16,substitution,regular,away,,,,992514.0,R. Salinas,9,339871.0,R. Costa,
3,card,yellow,home,1086246.0,J. A. Peréz,25,,,,,,
90,period,,home,,,,,,,,,
88,substitution,regular,away,,,,358932.0,J. Canete,20,941498.0,N. Henry,15
