minute,value,event_id
64.0,17,11972399
65.0,5,11972399
66.0,-5,11972399
67.0,-8,11972399
68.0,6,11972399
69.0,1,11972399
70.0,2,11972399
71.0,-5,11972399
72.0,6,11972399
73.0,3,11972399
74.0,7,11972399
75.0,5,11972399
76.0,4,11972399
77.0,8,11972399
78.0,5,11972399
79.0,9,11972399
80.0,-10,11972399
81.0,-12,11972399
82.0,-13,11972399
83.0,-7,11972399
84.0,-25,11972399
85.0,-14,11972399
86.0,-12,11972399
87.0,-12,11972399
88.0,-7,11972399
89.0,6,11972399
90.0,-10,11972399
90.5,-50,11972399
1.0,4,11972384
2.0,12,11972384
3.0,11,11972384
4.0,49,11972384
5.0,47,11972384
6.0,29,11972384
7.0,12,11972384
8.0,3,11972384
9.0,-7,11972384
10.0,17,11972384
11.0,48,11972384
12.0,35,11972384
13.0,27,11972384
14.0,17,11972384
15.0,11,11972384
16.0,9,11972384
17.0,6,11972384
18.0,-34,11972384
19.0,-17,11972384
20.0,-5,11972384
21.0,7,11972384
22.0,9,11972384
23.0,9,11972384
24.0,7,11972384
25.0,5,11972384
26.0,4,11972384
27.0,3,11972384
28.0,13,11972384
29.0,44,11972384
30.0,53,11972384
31.0,33,11972384
32.0,15,11972384
33.0,9,11972384
34.0,-20,11972384
35.0,-32,11972384
36.0,-23,11972384
37.0,-13,11972384
38.0,-7,11972384
39.0,11,11972384
40.0,7,11972384
41.0,35,11972384
42.0,7,11972384
43.0,5,11972384
44.0,-5,11972384
45.0,6,11972384
45.5,45,11972384
46.0,-39,11972384
47.0,-93,11972384
48.0,-55,11972384
49.0,-32,11972384
50.0,-18,11972384
51.0,-12,11972384
52.0,41,11972384
53.0,19,11972384
54.0,7,11972384
55.0,-5,11972384
56.0,32,11972384
57.0,17,11972384
58.0,-30,11972384
59.0,-36,11972384
60.0,-15,11972384
61.0,-11,11972384
62.0,-6,11972384
63.0,6,11972384
64.0,6,11972384
65.0,5,11972384
66.0,-9,11972384
67.0,-8,11972384
68.0,-5,11972384
69.0,31,11972384
70.0,19,11972384
71.0,13,11972384
72.0,19,11972384
73.0,100,11972384
74.0,66,11972384
75.0,41,11972384
76.0,20,11972384
77.0,13,11972384
78.0,2,11972384
79.0,2,11972384
80.0,23,11972384
81.0,90,11972384
82.0,50,11972384
83.0,20,11972384
84.0,12,11972384
85.0,6,11972384
86.0,-2,11972384
87.0,-11,11972384
88.0,-11,11972384
89.0,-11,11972384
90.0,40,11972384
90.5,-30,11972384
1.0,-7,11972397
2.0,-1,11972397
3.0,-24,11972397
4.0,-11,11972397
5.0,-3,11972397
6.0,35,11972397
7.0,79,11972397
8.0,47,11972397
9.0,32,11972397
10.0,22,11972397
11.0,15,11972397
12.0,14,11972397
13.0,17,11972397
14.0,29,11972397
15.0,15,11972397
16.0,100,11972397
17.0,79,11972397
18.0,54,11972397
19.0,59,11972397
20.0,49,11972397
21.0,45,11972397
22.0,35,11972397
23.0,19,11972397
24.0,13,11972397
25.0,20,11972397
26.0,24,11972397
27.0,-22,11972397
28.0,-27,11972397
29.0,-19,11972397
30.0,-10,11972397
31.0,-5,11972397
32.0,2,11972397
33.0,5,11972397
34.0,10,11972397
35.0,8,11972397
36.0,11,11972397
37.0,13,11972397
38.0,14,11972397
39.0,30,11972397
40.0,100,11972397
41.0,60,11972397
42.0,77,11972397
43.0,17,11972397
44.0,-24,11972397
45.0,-14,11972397
45.5,135,11972397
46.0,-2,11972397
47.0,2,11972397
48.0,-49,11972397
49.0,-22,11972397
50.0,-2,11972397
51.0,2,11972397
52.0,-4,11972397
53.0,-4,11972397
54.0,7,11972397
55.0,-4,11972397
56.0,-10,11972397
57.0,-25,11972397
58.0,-18,11972397
59.0,-95,11972397
60.0,-50,11972397
61.0,-33,11972397
62.0,-17,11972397
63.0,-9,11972397
64.0,-4,11972397
65.0,41,11972397
66.0,35,11972397
67.0,-24,11972397
68.0,56,11972397
69.0,34,11972397
70.0,38,11972397
71.0,18,11972397
72.0,13,11972397
73.0,-10,11972397
74.0,-33,11972397
75.0,-16,11972397
76.0,-8,11972397
77.0,-15,11972397
78.0,-13,11972397
79.0,-10,11972397
80.0,-6,11972397
81.0,6,11972397
82.0,3,11972397
83.0,-5,11972397
84.0,-7,11972397
85.0,5,11972397
86.0,11,11972397
87.0,6,11972397
88.0,-6,11972397
89.0,-56,11972397
90.0,-29,11972397
90.5,-5,11972397
1.0,-37,11972398
2.0,-18,11972398
3.0,-7,11972398
4.0,21,11972398
5.0,16,11972398
