event_id,round_number,home_id,home_shortName,home_score,away_id,away_shortName,away_score
11972654,14,5292,Gimnasia J.,3.0,264945,San Miguel,0.0
11972650,14,43741,Patronato,2.0,3214,Chacarita Jrs.,0.0
11972664,14,3200,Nueva Chicago,2.0,188441,Gimnasia Mendoza,1.0
11972651,14,273657,Racing de Córdoba,0.0,93107,Estudiantes B.A.,1.0
11972660,14,4938,Almagro,0.0,266694,Estudiantes R.C.,1.0
12302361,14,273657,Racing de Córdoba,,93107,Estudiantes B.A.,
12302435,14,36834,All Boys,1.0,3221,Arsenal,0.0
12302371,14,52215,Defensores,1.0,3207,Colón,0.0
11972676,15,222126,Gimnasia y Tiro,0.0,112499,Temperley,2.0
11972666,15,264945,San Miguel,2.0,213042,Deportivo Maipú,1.0
11972668,15,201162,Talleres R.E.,0.0,224646,Güemes,0.0
11972677,15,255425,Mitre,,107201,Brown de Adrogué,
11972671,15,23950,SM Tucumán,,43741,Patronato,
11972667,15,4936,Quilmes,2.0,5292,Gimnasia J.,1.0
11972669,15,93107,Estudiantes B.A.,4.0,273715,Alvarado,0.0
11972684,15,3200,Nueva Chicago,,36841,Ferro Carril Oeste,
11972682,15,53799,Atlanta,2.0,34976,Atlético Rafaela,0.0
11972672,15,3221,Arsenal,0.0,93513,Tristán Suárez,2.0
11972674,15,53801,Guillermo Brown,0.0,265787,Agropecuario,2.0
11972678,15,36836,Aldosivi,1.0,4938,Almagro,0.0
11972670,15,3214,Chacarita Jrs.,2.0,273657,Racing de Córdoba,2.0
11972683,15,93515,Def. Unidos,0.0,222120,Deportivo Madryn,0.0
11972675,15,188441,Gimnasia Mendoza,2.0,93109,Dep. Morón,1.0
11972680,15,3207,Colón,1.0,252726,Chaco For Ever,0.0
11972673,15,7772,San Martín,3.0,36834,All Boys,0.0
11972679,15,266694,Estudiantes R.C.,1.0,52215,Defensores,1.0
11972681,15,43740,Almirante Brown,0.0,213361,San Telmo,0.0
12325027,15,23950,SM Tucumán,2.0,43741,Patronato,0.0
12335281,15,255425,Mitre,1.0,107201,Brown de Adrogué,0.0
12339889,15,3200,Nueva Chicago,3.0,36841,Ferro Carril Oeste,1.0
11972697,16,213361,San Telmo,2.0,3207,Colón,0.0
11972686,16,93513,Tristán Suárez,0.0,7772,San Martín,1.0
11972704,16,265787,Agropecuario,0.0,93515,Def. Unidos,0.0
11972699,16,52215,Defensores,,36836,Aldosivi,
11972702,16,112499,Temperley,,188441,Gimnasia Mendoza,
11972696,16,34976,Atlético Rafaela,1.0,43740,Almirante Brown,2.0
